
ATNF Pulsar Catalogue
Catalogue Version: 2.1.1
#;NAME;PSRJ;P0;P1;F0;F1;DM;RM;W50;S1400;BINARY;DIST;AGE;
;;;(s);;(Hz);(s^-2);(cm^-3pc);(radm^-2);(ms);(mJy);(type);(kpc);(Yr);
168;J0402+4825;J0402+4825;0.512194;2.75e-16;1.952384;-1.050e-15;85.70;-111.00;73.380;*;*;1.849;2.95e+07;
169;J0405+3347;J0405+3347;0.063954;1.64e-19;15.636251;-4.000e-17;53.60;*;2.600;*;*;1.655;6.19e+09;
170;J0406+30;J0406+30;0.002600;*;384.615385;*;49.37;*;26.000;*;*;1.641;*;
171;B0402+61;J0406+6138;0.594576;5.57e-15;1.681870;-1.576e-14;65.41;8.18;18.400;2.80;*;4.200;1.69e+06;
172;J0407+1607;J0407+1607;0.025702;7.90e-20;38.907873;-1.196e-16;35.59;2.50;5.300;0.35;BT;1.337;5.15e+09;
173;J0408+551;J0408+551;1.837000;*;0.544366;*;55.00;*;*;*;*;1.573;*;
174;J0408+552;J0408+552;0.754000;*;1.326260;*;63.80;*;47.000;*;*;1.661;*;
175;J0410-31;J0410-31;1.878500;*;0.532340;*;9.20;*;26.000;*;*;0.415;*;
176;J0413+58;J0413+58;0.687000;*;1.455604;*;57.00;*;21.000;*;*;1.630;*;
177;J0414+31;J0414+31;1.081000;*;0.925069;*;64.10;*;20.000;*;*;1.842;*;
178;B0410+69;J0415+6954;0.390715;7.66e-17;2.559410;-5.018e-16;27.45;-21.42;4.400;0.50;*;1.367;8.08e+07;
179;J0417+35;J0417+35;0.654400;*;1.528117;*;48.53;42.00;8.000;*;*;1.480;*;
180;J0417+61;J0417+61;0.440283;*;2.271266;*;70.14;*;19.000;*;*;1.837;*;
181;J0418+5732;J0418+5732;9.078388;4.10e-15;0.110152;-4.975e-17;*;*;*;*;*;*;3.51e+07;
182;J0418+6635;J0418+6635;0.002910;1.37e-20;343.620798;-1.613e-15;77.56;*;*;*;*;2.205;3.37e+09;
183;J0418-4154;J0418-4154;0.757119;1.32e-15;1.320796;-2.302e-15;24.32;*;14.000;*;*;2.519;9.09e+06;
184;J0419+44;J0419+44;1.241000;*;0.805802;*;71.00;*;*;*;*;1.687;*;
185;J0420-5022;J0420-5022;3.453004;2.76e-14;0.289603;-2.314e-15;*;*;*;*;*;*;1.98e+06;
186;J0421+3255;J0421+3255;0.900105;6.00e-17;1.110981;-7.406e-17;77.02;*;231.000;*;*;1.939;2.38e+08;
187;J0421-0345;J0421-0345;2.161308;1.16e-15;0.462683;-2.491e-16;44.61;30.00;25.000;0.50;*;2.197;2.94e+07;
188;J0426+4933;J0426+4933;0.922475;3.93e-14;1.084041;-4.624e-14;84.30;-169.00;14.000;0.19;*;1.795;3.71e+05;
189;J0435+2749;J0435+2749;0.326279;8.17e-18;3.064857;-7.670e-17;53.19;0.96;53.000;0.24;*;1.521;6.33e+08;
190;J0437-4715;J0437-4715;0.005757;5.73e-20;173.687946;-1.728e-15;2.64;0.15;0.141;150.20;T2;0.157;1.59e+09;
191;J0447+2447;J0447+2447;0.002995;8.00e-21;333.858342;-8.913e-16;32.91;66.00;*;0.37;*;0.925;5.93e+09;
192;J0447-04;J0447-04;2.188190;*;0.456999;*;29.83;*;*;*;*;0.675;*;
193;J0448-2749;J0448-2749;0.450448;1.48e-16;2.220010;-7.311e-16;26.22;-0.70;11.000;2.00;*;1.809;4.81e+07;
194;J0449-7031;J0449-7031;0.479164;3.37e-15;2.086968;-1.468e-14;65.83;41.00;7.500;0.06;*;49.700;2.25e+06;
195;B0447-12;J0450-1248;0.438014;1.03e-16;2.283031;-5.350e-16;37.04;13.00;23.000;1.20;*;1.774;6.76e+07;
196;J0451-67;J0451-67;0.245454;0.00e+00;4.074078;-0.000e+00;45.00;*;5.500;0.05;*;49.700;*;
197;B0450-18;J0452-1759;0.548939;5.75e-15;1.821695;-1.909e-14;39.90;11.10;27.000;17.00;*;0.400;1.51e+06;
198;J0453+1559;J0453+1559;0.045782;1.86e-19;21.842733;-8.880e-17;30.31;-35.30;*;0.33;DDH;0.522;3.90e+09;
