
ATNF Pulsar Catalogue
Catalogue Version: 2.1.1
#;NAME;PSRJ;P0;P1;F0;F1;DM;RM;W50;S1400;BINARY;DIST;AGE;
;;;(s);;(Hz);(s^-2);(cm^-3pc);(radm^-2);(ms);(mJy);(type);(kpc);(Yr);
2946;J1922+58;J1922+58;0.529623;*;1.888136;*;53.74;*;14.000;*;*;5.523;*;
2947;J1923+1143g;J1923+1143g;0.371210;*;2.693893;*;260.60;*;*;0.01;*;7.783;*;
2948;J1923+1521g;J1923+1521g;1.048760;*;0.953507;*;346.00;*;*;0.01;*;6.995;*;
2949;B1921+17;J1923+1706;0.547209;4.30e-17;1.827455;-1.436e-16;142.50;400.00;21.000;0.41;*;3.975;2.02e+08;
2950;J1923+2022g;J1923+2022g;0.037990;*;26.322717;*;175.30;*;*;0.01;*;4.626;*;
2951;J1923+2515;J1923+2515;0.003788;9.56e-21;263.980714;-6.658e-16;18.86;12.34;0.380;0.20;*;1.201;6.28e+09;
2952;J1923+4243;J1923+4243;0.595193;2.53e-15;1.680128;-7.150e-15;52.99;*;7.000;*;*;4.683;3.72e+06;
2953;J1923-0408;J1923-0408;1.149269;6.80e-17;0.870118;-5.150e-17;35.00;*;14.600;0.11;*;1.237;2.68e+08;
2954;J1924+1343g;J1924+1343g;0.005720;*;174.825175;*;98.50;*;*;0.03;*;3.045;*;
2955;J1924+1446g;J1924+1446g;1.090000;*;0.917431;*;336.00;*;*;*;*;7.008;*;
2956;J1924+1509g;J1924+1509g;0.239950;*;4.167535;*;296.60;*;*;0.01;*;6.358;*;
2957;J1924+1510g;J1924+1510g;0.498630;*;2.005495;*;115.60;*;*;0.01;*;3.469;*;
2958;J1924+1628;J1924+1628;0.375082;3.21e-16;2.666082;-2.281e-15;541.70;*;13.000;0.11;*;10.469;1.85e+07;
2959;J1924+1631;J1924+1631;2.935186;3.64e-13;0.340694;-4.227e-14;518.50;*;32.000;0.09;*;10.184;1.28e+05;
2960;J1924+1639;J1924+1639;0.158043;2.56e-15;6.327395;-1.026e-13;208.00;*;6.200;0.21;*;5.059;9.77e+05;
2961;J1924+1713;J1924+1713;0.758433;1.13e-16;1.318508;-1.964e-16;536.80;*;20.000;0.04;*;10.902;1.06e+08;
2962;J1924+1734g;J1924+1734g;*;*;*;*;49.00;*;*;*;*;1.958;*;
2963;J1924+1917;J1924+1917;1.277942;1.99e-16;0.782508;-1.219e-16;320.30;*;4.000;0.04;*;8.594;1.02e+08;
2964;J1924+1923g;J1924+1923g;0.689240;*;1.450873;*;386.70;*;*;0.06;*;9.823;*;
2965;J1924+1932g;J1924+1932g;0.388860;*;2.571620;*;280.30;*;*;0.02;*;6.612;*;
2966;J1924+2027g;J1924+2027g;0.001950;*;512.820513;*;211.70;*;*;0.08;*;5.294;*;
2967;J1924+2037g;J1924+2037g;0.684800;*;1.460280;*;82.30;*;*;0.00;*;2.935;*;
2968;B1922+20;J1924+2040;0.237790;2.09e-15;4.205389;-3.696e-14;226.60;343.00;16.000;*;*;5.952;1.80e+06;
2969;J1925+1532g;J1925+1532g;1.655100;*;0.604193;*;145.90;*;*;0.02;*;4.202;*;
2970;J1925+1629g;J1925+1629g;0.004110;*;243.309002;*;214.10;*;*;0.09;*;5.118;*;
2971;J1925+1636g;J1925+1636g;0.049710;*;20.116677;*;33.10;*;*;0.01;*;1.536;*;
2972;J1925+1720;J1925+1720;0.075659;1.05e-14;13.217200;-1.829e-12;222.30;445.80;2.700;0.07;*;5.048;1.15e+05;
2973;J1925+19;J1925+19;1.916353;*;0.521825;*;328.00;*;*;*;*;8.329;*;
2974;J1925-16;J1925-16;3.885800;*;0.257347;*;88.00;*;10.000;*;*;7.935;*;
2975;B1923+04;J1926+0431;1.074080;2.46e-15;0.931029;-2.134e-15;102.24;-40.00;15.000;*;*;4.995;6.91e+06;
2976;J1926+0737;J1926+0737;0.318062;3.75e-16;3.144041;-3.707e-15;159.00;*;151.000;0.11;*;8.722;1.34e+07;
2977;B1924+14;J1926+1434;1.324922;2.19e-16;0.754761;-1.250e-16;211.41;249.00;13.000;0.48;*;5.649;9.56e+07;
2978;J1926+1452g;J1926+1452g;0.304510;*;3.283964;*;298.10;*;*;0.01;*;6.480;*;
2979;J1926+1614;J1926+1614;0.308306;3.35e-17;3.243532;-3.528e-16;24.02;*;8.000;0.09;*;1.262;1.46e+08;
2980;J1926+1631g;J1926+1631g;0.678390;*;1.474078;*;195.10;*;*;0.05;*;4.822;*;
2981;B1924+16;J1926+1648;0.579823;1.80e-14;1.724665;-5.352e-14;176.88;320.00;7.900;1.30;*;6.000;5.11e+05;
2982;J1926+1857g;J1926+1857g;0.278730;*;3.587701;*;424.20;262.30;13.100;0.03;*;9.569;*;
2983;B1924+19;J1926+1928;1.346012;1.43e-15;0.742935;-7.893e-16;445.00;*;32.000;*;*;10.567;1.49e+07;
2984;J1926+2016;J1926+2016;0.299072;3.50e-15;3.343679;-3.914e-14;247.00;*;9.100;0.12;*;5.947;1.35e+06;
2985;J1926-0652;J1926-0652;1.608816;3.91e-16;0.621575;-1.512e-16;85.30;-54.00;204.000;1.01;*;5.285;6.51e+07;
2986;J1926-1314;J1926-1314;4.864284;3.64e-14;0.205580;-1.540e-15;40.83;*;*;*;*;1.531;2.11e+06;
2987;J1927+0911;J1927+0911;0.290305;6.35e-17;3.444650;-7.540e-16;202.70;*;3.100;0.16;*;10.939;7.24e+07;
2988;J1927+1430g;J1927+1430g;0.202880;*;4.929022;*;207.20;*;*;0.01;*;5.626;*;
2989;J1927+1849g;J1927+1849g;0.312000;*;3.205128;*;200.00;*;*;*;*;4.623;*;
2990;B1925+18;J1927+1852;0.482766;1.16e-16;2.071396;-4.977e-16;264.50;417.00;19.000;0.44;*;5.443;6.59e+07;
2991;B1925+188;J1927+1856;0.298313;2.24e-15;3.352178;-2.520e-14;99.00;74.00;3.800;0.55;*;3.100;2.11e+06;
2992;J1927+1940g;J1927+1940g;*;*;*;*;347.00;*;*;*;*;8.966;*;
2993;B1925+22;J1927+2234;1.431066;7.71e-16;0.698780;-3.765e-16;186.50;216.00;62.000;*;*;7.221;2.94e+07;
2994;J1928+1245;J1928+1245;0.003022;1.68e-20;330.949795;-1.840e-15;179.23;60.00;0.280;0.08;ELL1;6.079;2.85e+09;
2995;J1928+1443;J1928+1443;1.010739;2.10e-16;0.989375;-2.056e-16;101.00;*;43.000;0.17;*;3.079;7.63e+07;
2996;J1928+15;J1928+15;0.403000;*;2.481390;*;242.00;*;5.000;*;*;5.746;*;
2997;J1928+1725;J1928+1725;0.289838;*;3.450199;*;135.96;*;1.100;1.40;*;3.725;*;
2998;J1928+1746;J1928+1746;0.068730;1.32e-14;14.549601;-2.792e-12;176.68;203.20;3.600;0.28;*;4.337;8.26e+04;
2999;J1928+1809g;J1928+1809g;0.294460;*;3.396047;*;431.10;*;*;0.03;*;9.328;*;
3000;J1928+1816g;J1928+1816g;0.010540;*;94.876660;*;346.30;*;*;0.03;*;7.205;*;
3001;J1928+1839g;J1928+1839g;2.260910;*;0.442300;*;70.00;*;*;0.01;*;2.502;*;
3002;J1928+1852g;J1928+1852g;0.792810;*;1.261336;*;291.60;*;*;0.02;*;5.833;*;
3003;J1928+1902g;J1928+1902g;0.005800;*;172.413793;*;28.90;*;*;0.01;*;1.495;*;
3004;J1928+1915g;J1928+1915g;0.974350;*;1.026325;*;201.00;*;*;0.01;*;4.632;*;
3005;J1928+1923;J1928+1923;0.817330;6.35e-15;1.223496;-9.505e-15;476.40;*;32.000;0.64;*;10.582;2.04e+06;
3006;J1928+28;J1928+28;1.063000;*;0.940734;*;79.20;*;44.000;*;*;5.224;*;
3007;J1928-0108;J1928-0108;2.365714;2.80e-15;0.422705;-5.000e-16;125.80;-15.00;65.000;0.24;*;9.695;1.34e+07;
3008;J1928-0548;J1928-0548;0.028041;1.06e-19;35.662176;-1.342e-16;96.00;71.00;*;0.25;*;6.721;4.21e+09;
3009;J1929+00;J1929+00;1.166900;*;0.856971;*;42.95;*;19.000;*;*;1.497;*;
3010;J1929+0132;J1929+0132;0.006418;8.56e-21;155.806514;-2.078e-16;53.46;-71.00;*;0.21;ELL1;1.852;1.19e+10;
3011;J1929+1357;J1929+1357;0.866927;3.66e-15;1.153500;-4.870e-15;150.70;*;11.500;2.20;*;4.768;3.75e+06;
3012;J1929+16;J1929+16;0.529681;*;1.887929;*;12.00;*;20.600;*;*;0.762;*;
3013;J1929+1615g;J1929+1615g;0.044600;*;22.421525;*;308.70;*;*;0.01;*;6.109;*;
3014;J1929+1731g;J1929+1731g;3.995400;*;0.250288;*;431.10;*;*;0.01;*;9.222;*;
3015;B1926+18;J1929+1844;1.220470;2.36e-15;0.819356;-1.584e-15;112.00;174.00;25.000;*;*;3.324;8.19e+06;
3016;J1929+19;J1929+19;0.339216;*;2.947976;*;528.40;*;38.400;*;*;11.737;*;
3017;J1929+1937g;J1929+1937g;0.563730;*;1.773899;*;458.10;*;*;0.02;*;10.041;*;
3018;J1929+1955;J1929+1955;0.257832;2.56e-15;3.878495;-3.844e-14;281.00;*;7.300;0.42;*;6.604;1.60e+06;
3019;J1929+2121;J1929+2121;0.723599;2.14e-15;1.381982;-4.084e-15;66.00;*;11.000;0.23;*;2.653;5.36e+06;
3020;J1929+3817;J1929+3817;0.814215;6.10e-16;1.228176;-9.197e-16;93.40;*;26.000;*;*;9.320;2.12e+07;
3021;J1929+62;J1929+62;1.456000;*;0.686813;*;67.70;*;24.000;*;*;11.972;*;
3022;J1929+66;J1929+66;0.806000;*;1.240695;*;59.60;*;14.000;*;*;7.973;*;
3023;B1927+13;J1930+1316;0.760032;3.66e-15;1.315734;-6.338e-15;207.30;-2.00;5.900;0.18;*;6.338;3.29e+06;
3024;J1930+1357g;J1930+1357g;0.323540;*;3.090808;*;186.60;*;*;0.03;*;5.601;*;
3025;J1930+1403g;J1930+1403g;0.003210;*;311.526480;*;150.50;*;*;0.09;*;4.740;*;
3026;J1930+1408;J1930+1408;0.425720;1.90e-18;2.348960;-1.048e-17;210.87;*;8.000;0.05;*;5.891;3.55e+09;
3027;J1930+1722;J1930+1722;1.609706;8.81e-16;0.621231;-3.399e-16;207.00;*;59.000;0.09;*;4.741;2.90e+07;
3028;J1930+1852;J1930+1852;0.136855;7.51e-13;7.307001;-4.007e-11;307.30;*;19.200;0.06;*;7.000;2.89e+03;
3029;J1930+2441;J1930+2441;0.005767;8.65e-21;173.388147;-2.600e-16;69.57;90.70;0.320;0.10;ELL1;3.267;1.06e+10;
3030;J1930-1852;J1930-1852;0.185520;1.80e-17;5.390250;-5.230e-16;42.85;*;3.400;*;BT;2.004;1.63e+08;
3031;J1931+1439;J1931+1439;1.779226;6.33e-15;0.562042;-1.999e-15;243.00;*;71.000;0.08;*;6.123;4.45e+06;
3032;B1929+15;J1931+1536;0.314355;5.01e-15;3.181113;-5.075e-14;140.00;199.00;8.600;0.36;*;4.011;9.93e+05;
3033;J1931+1817;J1931+1817;0.234131;1.07e-13;4.271105;-1.959e-12;465.00;*;18.000;0.15;*;9.573;3.46e+04;
3034;J1931+1952;J1931+1952;0.501123;1.01e-16;1.995518;-4.014e-16;441.00;*;8.300;0.13;*;9.625;7.88e+07;
3035;J1931+30;J1931+30;0.582126;*;1.717841;*;53.00;*;8.000;*;*;3.722;*;
3036;J1931+42;J1931+42;*;*;*;*;50.90;*;32.000;*;*;4.234;*;
3037;J1931-0144;J1931-0144;0.593661;2.93e-17;1.684462;-8.300e-17;38.30;-50.00;22.200;0.20;*;1.387;3.22e+08;
3038;B1929+10;J1932+1059;0.226519;1.16e-15;4.414646;-2.255e-14;3.18;-6.87;6.000;29.00;*;0.310;3.10e+06;
3039;J1932+1500;J1932+1500;1.864332;4.59e-16;0.536385;-1.320e-16;90.50;*;49.000;0.19;BT;2.849;6.44e+07;
3040;J1932+1756;J1932+1756;0.041831;4.32e-19;23.905551;-2.470e-16;53.19;*;1.310;0.04;DD;2.116;1.53e+09;
3041;J1932+1916;J1932+1916;0.208218;9.32e-14;4.802667;-2.149e-12;*;*;*;0.00;*;*;3.54e+04;
3042;B1929+20;J1932+2020;0.268217;4.22e-15;3.728319;-5.862e-14;211.15;10.00;5.000;1.20;*;5.000;1.01e+06;
3043;J1932+2126g;J1932+2126g;*;*;*;*;126.00;*;*;*;*;3.879;*;
3044;B1930+22;J1932+2220;0.144470;5.76e-14;6.921864;-2.758e-12;218.90;138.90;1.600;1.20;*;10.900;3.98e+04;
3045;J1932-3655;J1932-3655;0.571421;2.86e-16;1.750025;-8.767e-16;59.88;-8.00;6.100;0.70;*;6.724;3.16e+07;
3046;J1933+0758;J1933+0758;0.437454;2.18e-16;2.285953;-1.141e-15;165.02;*;8.100;*;*;11.157;3.18e+07;
3047;B1930+13;J1933+1304;0.928324;3.18e-16;1.077210;-3.692e-16;177.01;-125.00;26.000;0.42;*;6.084;4.62e+07;
3048;J1933+1726;J1933+1726;0.021507;4.90e-20;46.495984;-1.059e-16;156.90;*;*;0.04;ELL1;4.072;6.95e+09;
3049;J1933+1923g;J1933+1923g;0.371730;*;2.690125;*;97.70;*;*;0.02;*;3.142;*;
3050;J1933+2038g;J1933+2038g;0.040750;*;24.539877;*;302.90;*;*;0.02;*;8.474;*;
3051;J1933+2401g;J1933+2401g;*;*;*;*;185.00;*;*;*;*;8.112;*;
3052;B1931+24;J1933+2421;0.813690;8.11e-15;1.228969;-1.225e-14;106.03;115.00;25.900;*;*;4.639;1.59e+06;
3053;J1933+5335;J1933+5335;2.052574;1.26e-15;0.487193;-2.991e-16;33.54;*;53.000;*;*;2.516;2.58e+07;
3054;J1933-6211;J1933-6211;0.003543;3.87e-21;282.212313;-3.083e-16;11.51;9.20;0.360;0.95;T2;1.000;1.45e+10;
3055;J1934+1926;J1934+1926;0.230984;2.68e-18;4.329296;-5.023e-17;99.10;*;22.000;0.13;*;3.176;1.37e+09;
3056;J1934+2341g;J1934+2341g;*;*;*;*;252.00;*;*;*;*;8.955;*;
3057;J1934+2352;J1934+2352;0.178432;1.31e-13;5.604391;-4.105e-12;355.80;-35.40;4.200;0.06;*;12.207;2.16e+04;
3058;J1934+5219;J1934+5219;0.568442;8.40e-17;1.759194;-2.600e-16;71.26;*;22.000;*;*;7.559;1.07e+08;
3059;J1935+1159;J1935+1159;1.939758;9.48e-16;0.515528;-2.519e-16;188.76;-83.00;27.000;0.17;*;8.421;3.24e+07;
3060;B1933+16;J1935+1616;0.358738;6.00e-15;2.787546;-4.664e-14;158.52;-10.20;6.300;58.00;*;3.700;9.47e+05;
3061;J1935+1726;J1935+1726;0.004200;*;238.089468;*;61.60;*;0.800;0.68;ELL1;2.305;*;
3062;B1933+17;J1935+1745;0.654408;3.78e-16;1.528098;-8.827e-16;214.60;*;7.700;0.16;*;4.850;2.74e+07;
3063;J1935+1829;J1935+1829;0.843548;2.32e-15;1.185469;-3.261e-15;343.90;*;16.000;0.04;*;8.616;5.76e+06;
3064;J1935+1841g;J1935+1841g;5.529000;*;0.180865;*;290.00;*;*;*;*;6.054;*;
3065;J1935+1901g;J1935+1901g;0.897000;*;1.114827;*;365.00;*;*;*;*;8.952;*;
3066;J1935+2025;J1935+2025;0.080118;6.08e-14;12.481569;-9.465e-12;182.00;*;1.900;0.50;*;4.598;2.09e+04;
3067;J1935+2154;J1935+2154;3.244980;*;0.308168;*;*;*;*;*;*;*;*;
3068;B1933+15;J1936+1536;0.967338;4.04e-15;1.033764;-4.316e-15;165.00;193.00;18.000;*;*;4.624;3.79e+06;
3069;J1936+18;J1936+18;0.058345;*;17.139391;*;125.90;*;*;*;*;3.596;*;
3070;J1936+1952g;J1936+1952g;0.009720;*;102.880658;*;325.00;*;*;0.03;*;8.576;*;
3071;J1936+2036g;J1936+2036g;0.032920;*;30.376671;*;198.80;*;*;0.03;*;4.996;*;
3072;J1936+2042;J1936+2042;1.390723;4.94e-14;0.719050;-2.553e-14;197.40;*;40.000;0.04;*;4.999;4.46e+05;
3073;J1936+21;J1936+21;0.642960;*;1.555307;*;262.40;*;19.200;*;*;8.072;*;
3074;J1936+217;J1936+217;0.031582;*;31.663736;*;75.00;*;*;*;*;2.968;*;
3075;J1937+1505;J1937+1505;2.872774;5.61e-15;0.348096;-6.800e-16;237.00;*;46.000;0.13;*;6.451;8.11e+06;
3076;J1937+1658;J1937+1658;0.003958;1.32e-20;252.674072;-8.429e-16;105.84;-2.80;0.400;0.17;ELL1;3.259;4.75e+09;
3077;B1935+25;J1937+2544;0.200980;6.43e-16;4.975614;-1.592e-14;53.22;26.00;13.000;1.40;*;3.100;4.95e+06;
3078;J1937+2950;J1937+2950;1.657429;3.48e-15;0.603344;-1.267e-15;113.99;*;35.000;0.08;*;7.477;7.54e+06;
3079;J1937-00;J1937-00;0.240100;*;4.164931;*;68.60;*;*;*;*;3.510;*;
3080;J1938+0650;J1938+0650;1.121562;5.68e-15;0.891614;-4.515e-15;70.80;98.00;8.800;*;*;2.832;3.13e+06;
3081;J1938+14;J1938+14;2.902500;*;0.344531;*;75.00;*;95.000;*;*;2.575;*;
3082;J1938+1748g;J1938+1748g;7.106000;*;0.140726;*;56.00;*;*;*;*;2.237;*;
3083;J1938+2010;J1938+2010;0.687082;3.40e-15;1.455431;-7.200e-15;327.70;*;25.000;0.10;*;8.812;3.20e+06;
3084;J1938+2012;J1938+2012;0.002634;7.50e-22;379.631246;-1.081e-16;236.91;*;*;0.02;ELL1;6.301;5.56e+10;
3085;J1938+2213;J1938+2213;0.166116;4.24e-14;6.019905;-1.538e-12;93.00;140.50;5.700;0.59;*;3.464;6.20e+04;
3086;J1938+2659;J1938+2659;0.883332;3.23e-15;1.132077;-4.136e-15;191.20;*;26.000;0.08;*;8.576;4.34e+06;
3087;J1938+6604;J1938+6604;0.022259;1.95e-20;44.926049;-3.930e-17;41.24;*;0.480;*;ELL1;3.379;1.81e+10;
3088;J1938-0940;J1938-0940;0.173867;2.97e-18;5.751537;-9.830e-17;44.47;58.00;*;0.02;*;2.014;9.27e+08;
3089;J1939+10;J1939+10;2.310000;*;0.432900;*;90.00;*;*;*;*;3.552;*;
3090;B1937+21;J1939+2134;0.001558;1.05e-19;641.928222;-4.331e-14;71.02;-7.30;0.038;13.90;*;3.500;2.35e+08;
3091;J1939+2352g;J1939+2352g;2.145340;*;0.466127;*;415.50;*;*;0.01;*;12.266;*;
3092;B1937+24;J1939+2449;0.645302;1.83e-14;1.549661;-4.388e-14;142.88;76.20;24.000;*;*;7.115;5.60e+05;
3093;J1939+2609;J1939+2609;0.466963;5.20e-18;2.141499;-2.385e-17;47.30;*;4.000;0.15;*;2.682;1.42e+09;
3094;J1940+0239;J1940+0239;1.232240;*;0.811530;*;87.20;*;48.000;*;*;5.292;*;
3095;J1940+2203g;J1940+2203g;11.906000;*;0.083991;*;59.00;*;*;*;*;2.651;*;
3096;J1940+2231g;J1940+2231g;5.682000;*;0.175994;*;198.00;*;*;*;*;7.595;*;
3097;J1940+2245;J1940+2245;0.258912;1.27e-14;3.862316;-1.896e-13;222.40;*;13.000;0.15;*;8.081;3.23e+05;
3098;J1940+2337;J1940+2337;0.546824;7.68e-14;1.828741;-2.568e-13;252.10;*;12.000;0.07;*;8.468;1.13e+05;
3099;J1940+26;J1940+26;0.004814;*;207.747779;*;171.64;*;*;*;*;7.924;*;
3100;J1940-0902;J1940-0902;0.978468;1.88e-15;1.022006;-1.963e-15;42.30;*;18.200;0.23;*;1.859;8.25e+06;
3101;J1940-24;J1940-24;0.098200;*;10.183299;*;53.40;*;2.000;*;*;3.905;*;
3102;J1940-2403;J1940-2403;1.855276;*;0.539003;*;63.30;*;40.000;*;*;6.306;*;
3103;J1941+0121;J1941+0121;0.217317;1.91e-16;4.601563;-4.051e-15;51.87;-92.00;20.000;*;*;2.097;1.80e+07;
3104;J1941+1026;J1941+1026;0.905394;9.96e-16;1.104492;-1.215e-15;138.91;-126.00;8.900;*;*;7.971;1.44e+07;
3105;J1941+1341;J1941+1341;0.559084;1.24e-15;1.788640;-3.963e-15;147.90;*;19.000;0.17;*;5.459;7.15e+06;
3106;J1941+2525;J1941+2525;2.306153;1.61e-13;0.433623;-3.024e-14;314.40;*;35.600;0.24;*;11.169;2.27e+05;
3107;J1941+4320;J1941+4320;0.840906;1.15e-15;1.189193;-1.622e-15;79.36;*;15.000;*;*;6.511;1.16e+07;
3108;B1937-26;J1941-2602;0.402858;9.56e-16;2.482265;-5.891e-15;50.04;-33.50;3.100;1.90;*;3.564;6.68e+06;
3109;J1942+0147;J1942+0147;1.405040;*;0.711724;*;133.30;*;40.000;*;*;25.000;*;
3110;B1939+17;J1942+1743;0.696262;1.01e-16;1.436241;-2.083e-16;190.00;*;65.000;*;*;4.915;1.09e+08;
3111;J1942+3941;J1942+3941;1.353291;7.14e-17;0.738939;-3.900e-17;104.50;*;75.310;*;*;8.665;3.00e+08;
3112;J1942+8106;J1942+8106;0.203558;3.69e-17;4.912594;-8.900e-16;40.24;*;3.000;*;*;3.476;8.75e+07;
3113;J1942-2019;J1942-2019;0.275133;1.23e-17;3.634609;-1.630e-16;59.90;-17.00;16.900;0.54;*;4.965;3.53e+08;
3114;J1943+0609;J1943+0609;0.446226;4.66e-16;2.241015;-2.340e-15;70.76;-11.00;3.500;0.70;*;3.270;1.52e+07;
3115;J1943+2210;J1943+2210;0.005084;8.79e-21;196.688796;-3.400e-16;174.09;*;*;0.04;ELL1;6.773;9.17e+09;
3116;J1943+5815;J1943+5815;1.270847;4.09e-16;0.786877;-2.534e-16;71.00;*;*;*;*;7.780;4.92e+07;
3117;B1940-12;J1943-1237;0.972429;1.66e-15;1.028353;-1.751e-15;28.92;-75.00;11.000;1.20;*;1.204;9.31e+06;
3118;J1944+0907;J1944+0907;0.005185;1.73e-20;192.856521;-6.448e-16;24.35;-37.80;0.500;2.10;*;1.218;4.74e+09;
3119;B1942+17;J1944+1755;1.996899;7.30e-16;0.500776;-1.831e-16;175.00;-277.00;20.000;*;*;4.876;4.33e+07;
3120;J1944+2236;J1944+2236;0.003618;7.46e-21;276.396328;-5.700e-16;185.45;*;*;0.11;*;7.600;7.68e+09;
3121;J1944-10;J1944-10;0.409135;*;2.444181;*;31.01;*;*;*;*;1.281;*;
3122;B1941-17;J1944-1750;0.841158;9.86e-16;1.188838;-1.394e-15;56.32;-40.00;22.900;0.30;*;4.123;1.35e+07;
3123;J1945+07;J1945+07;1.073900;*;0.931185;*;62.00;*;*;*;*;2.575;*;
3124;J1945+1211;J1945+1211;4.756796;3.78e-15;0.210226;-1.670e-16;92.70;-21.40;48.800;0.63;*;3.771;1.99e+07;
3125;B1943+18;J1945+1834;1.068708;2.42e-16;0.935710;-2.119e-16;217.70;29.00;23.000;*;*;7.350;7.00e+07;
3126;B1942-00;J1945-0040;1.045632;5.35e-16;0.956359;-4.890e-16;59.71;-45.00;54.000;0.80;*;3.165;3.10e+07;
3127;J1946+14;J1946+14;2.282440;*;0.438128;*;50.30;*;50.000;*;*;2.092;*;
3128;B1944+17;J1946+1805;0.440618;2.41e-17;2.269537;-1.241e-16;16.14;-45.34;32.000;10.00;*;0.300;2.90e+08;
3129;J1946+2052;J1946+2052;0.016960;9.20e-19;58.961655;-3.200e-15;93.97;*;*;0.06;DD;3.510;2.92e+08;
3130;B1944+22;J1946+2244;1.334450;8.89e-16;0.749372;-4.992e-16;141.50;2.00;18.000;0.17;*;6.059;2.38e+07;
3131;J1946+24;J1946+24;4.729000;*;0.211461;*;96.00;*;4.000;*;*;4.295;*;
3132;J1946+2535;J1946+2535;0.515167;5.64e-15;1.941118;-2.125e-14;248.81;57.00;8.600;0.48;*;8.305;1.45e+06;
3133;J1946+2611;J1946+2611;0.435060;2.20e-14;2.298532;-1.161e-13;165.00;-83.90;*;0.70;*;7.555;3.14e+05;
3134;J1946+3417;J1946+3417;0.003170;3.16e-21;315.443564;-3.148e-16;110.18;4.60;*;0.90;DD;6.937;1.59e+10;
3135;J1946-09;J1946-09;0.091200;*;10.964912;*;50.63;*;5.000;*;*;2.865;*;
3136;J1946-1312;J1946-1312;0.491865;1.99e-15;2.033076;-8.211e-15;63.04;*;12.000;0.30;*;5.000;3.92e+06;
3137;B1943-29;J1946-2913;0.959448;1.49e-15;1.042266;-1.617e-15;44.31;-28.00;10.000;0.50;*;3.124;1.02e+07;
3138;J1946-5403;J1946-5403;0.002710;*;369.003690;*;23.73;12.90;*;0.35;BT;1.150;*;
3139;J1947+0915;J1947+0915;1.480744;4.78e-16;0.675336;-2.180e-16;94.00;*;28.000;0.20;*;5.154;4.91e+07;
3140;J1947+10;J1947+10;1.110944;*;0.900135;*;149.00;*;*;*;*;10.851;*;
3141;J1947+1957;J1947+1957;0.157509;5.23e-16;6.348862;-2.106e-14;185.80;*;6.000;0.08;*;6.769;4.78e+06;
3142;J1947+2011g;J1947+2011g;0.008170;*;122.399021;*;127.40;*;*;0.01;*;4.283;*;
3143;J1947-18;J1947-18;0.002603;*;384.138167;*;25.00;*;*;*;*;1.101;*;
3144;J1947-4215;J1947-4215;1.798069;*;0.556152;*;35.00;*;72.000;*;*;2.202;*;
3145;J1947-43;J1947-43;0.180940;*;5.526694;*;29.90;*;*;*;*;1.625;*;
3146;J1948+1808;J1948+1808;0.394354;2.27e-16;2.535790;-1.460e-15;256.16;*;15.000;0.08;*;11.333;2.75e+07;
3147;J1948+2314g;J1948+2314g;1.471000;*;0.679810;*;184.00;*;*;*;*;7.917;*;
3148;J1948+2333;J1948+2333;0.528352;1.36e-14;1.892677;-4.864e-14;198.20;*;5.200;0.28;*;8.048;6.17e+05;
3149;J1948+2438g;J1948+2438g;1.903000;*;0.525486;*;450.00;*;*;*;*;17.005;*;
3150;J1948+2551;J1948+2551;0.196627;9.02e-15;5.085776;-2.334e-13;289.27;*;9.200;0.62;*;8.698;3.45e+05;
3151;J1948+2819;J1948+2819;0.932693;6.13e-14;1.072164;-7.042e-14;303.00;*;13.000;0.05;*;11.042;2.41e+05;
3152;B1946+35;J1948+3540;0.717311;7.06e-15;1.394095;-1.372e-14;129.37;118.96;19.300;8.30;*;7.650;1.61e+06;
3153;J1948-27;J1948-27;0.332000;*;3.012048;*;57.85;*;6.000;*;*;6.426;*;
3154;J1949+2306;J1949+2306;1.319373;1.23e-16;0.757936;-7.072e-17;196.30;*;22.000;0.10;*;8.106;1.70e+08;
3155;J1949+2516g;J1949+2516g;0.410340;*;2.437003;*;425.70;*;*;0.01;*;15.087;*;
3156;J1949+3106;J1949+3106;0.013138;9.39e-20;76.114025;-5.441e-16;164.13;230.00;*;0.23;DDGR;7.468;2.22e+09;
3157;J1949+3426;J1949+3426;0.388539;2.02e-16;2.573743;-1.339e-15;228.20;*;17.000;*;*;12.349;3.04e+07;
3158;B1946-25;J1949-2524;0.957617;3.27e-15;1.044259;-3.566e-15;23.07;-13.00;10.000;0.40;*;1.046;4.64e+06;
3159;J1950+05;J1950+05;0.455934;*;2.193300;*;71.00;*;*;*;*;3.939;*;
3160;J1950+2352g;J1950+2352g;0.319760;*;3.127346;*;342.50;*;*;0.03;*;13.342;*;
3161;J1950+2414;J1950+2414;0.004305;1.88e-20;232.300152;-1.015e-15;142.08;*;0.340;0.16;DDGR;7.269;3.63e+09;
3162;J1950+2556g;J1950+2556g;2.038640;*;0.490523;*;420.40;*;*;0.02;*;14.547;*;
3163;J1950+3001;J1950+3001;2.788918;1.49e-13;0.358562;-1.916e-14;249.00;*;6.000;0.24;*;8.760;2.97e+05;
3164;J1951+1123;J1951+1123;5.094083;3.03e-15;0.196306;-1.168e-16;31.29;-53.00;25.000;*;*;1.513;2.66e+07;
3165;J1951+4724;J1951+4724;0.181928;3.01e-14;5.496692;-9.102e-13;104.35;*;48.260;*;*;9.442;9.57e+04;
